,Company,Rating,Job_Title,Location,Salary,Job_Description,URL
682,Apple,4.2,"ISE, Proactive - Machine Learning Engineer","Santa Clara, CA",134K-210K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2321&ao=4120&s=58&guid=0000017597c8acbc9fcf68bee04086d7&src=GD_JOB_AD&t=SR&vt=w&cs=1_10ca3ed7&cb=1604569312939&jobListingId=3708960318
683,Veritas,3.4,Sr Data Scientist (Storage Systems Engineering) – United States,"Santa Clara, CA",128K-204K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2322&ao=135175&s=58&guid=0000017597c8acbc9fcf68bee04086d7&src=GD_JOB_AD&t=SR&vt=w&cs=1_5d4c4ca6&cb=1604569312939&jobListingId=3710069593
684,Amazon,3.9,Senior ASR/NLP Scientist,"Sunnyvale, CA",141K-226K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2323&ao=133043&s=58&guid=0000017597c8acbc9fcf68bee04086d7&src=GD_JOB_AD&t=SR&vt=w&cs=1_35cde45b&cb=1604569312939&jobListingId=3498460183
685,LeanTaaS,3.9,"Data Engineer - Santa Clara, CA","Santa Clara, CA",93K-167K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2324&ao=148364&s=58&guid=0000017597c8acbc9fcf68bee04086d7&src=GD_JOB_AD&t=SR&vt=w&cs=1_089e63a9&cb=1604569312940&jobListingId=3724057609
686,CVS Health,2.9,Lead Data Scientist,"Cupertino, CA",127K-202K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2325&ao=133456&s=58&guid=0000017597c8acbc9fcf68bee04086d7&src=GD_JOB_AD&t=SR&vt=w&cs=1_f9dd9b5e&cb=1604569312941&jobListingId=3690170359
687,Two95 International Inc.,4,Data Analyst w/ Tealium - Remote Work,"San Mateo, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2326&ao=14295&s=58&guid=0000017597c8acbc9fcf68bee04086d7&src=GD_JOB_AD&t=SR&vt=w&cs=1_8ebcc44e&cb=1604569312942&jobListingId=3485951169
688,DoorDash,3.9,"Software Engineer, Streaming & Realtime Data Platform","Mountain View, CA",82K-163K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2327&ao=1091461&s=58&guid=0000017597c8acbc9fcf68bee04086d7&src=GD_JOB_AD&t=SR&vt=w&cs=1_9ad95ef5&cb=1604569312942&jobListingId=3720847055
689,HopHR,,Principal Data Scientist | CA-Cupertino,"Cupertino, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2328&ao=148364&s=58&guid=0000017597c8acbc9fcf68bee04086d7&src=GD_JOB_AD&t=SR&vt=w&cs=1_7ec5d0b3&cb=1604569312950&jobListingId=3551822419
690,EApps Tech LLC,,DATA engineer,"Sunnyvale, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2329&ao=316669&s=58&guid=0000017597c8acbc9fcf68bee04086d7&src=GD_JOB_AD&t=SR&vt=w&cs=1_ac375ab5&cb=1604569312944&jobListingId=3733099847
691,Kodiak Sciences Inc.,4.3,Sr. Data Analyst,"Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2330&ao=1091461&s=58&guid=0000017597c8acbc9fcf68bee04086d7&src=GD_JOB_AD&t=SR&vt=w&cs=1_fc9e77c1&cb=1604569312945&jobListingId=3663430454
692,SymphonyRM,3.6,Data Engineer,"Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2401&ao=1091461&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_08380cb9&cb=1604569321571&jobListingId=3715685690
693,GENENTECH,4.1,"Senior Scientist, Next-Generation Biomarker Tissue Assays and Technology Development","South San Francisco, CA",135K-246K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2402&ao=1044074&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_9851ab95&cb=1604569321571&jobListingId=3723195632
694,Sharpedge Solutions Inc,4.7,Data Engineer,"Menlo Park, CA",88K-159K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2403&ao=37049&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_67204315&cb=1604569321572&jobListingId=3618665546
695,"Infinity Consulting Solutions, Inc.",3.5,Machine Learning Engineer,"Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2404&ao=1044074&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_92581581&cb=1604569321572&jobListingId=3724381787
696,Tencent,4.3,(Senior) Machine Learning Engineer - Tencent Games,"Palo Alto, CA",113K-195K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2405&ao=8095&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_84a4a52f&cb=1604569321573&jobListingId=3693688868
697,Apple,4.2,"Siri - Machine Learning Engineer, Speech and Audio Systems","Santa Clara, CA",142K-167K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2406&ao=191997&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_9e8b26e7&cb=1604569321574&jobListingId=3527692446
698,General Automation Lab Technologies,,"Assay Development Scientist, Phenotype Screening","San Carlos, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2407&ao=1091461&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_08dc85f6&cb=1604569321576&jobListingId=3663440634
699,Yochana,4.5,Data Engineer,"Fremont, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2408&ao=37049&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_17c9de8a&cb=1604569321577&jobListingId=3641602479
700,Adobe,4.3,"Senior Data Scientist, Intelligent Services","San Jose, CA",139K-230K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2409&ao=1091461&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_b49ef0aa&cb=1604569321578&jobListingId=3719695684
701,Adobe,4.3,Search Machine Learning Engineer,"San Jose, CA",140K-238K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2410&ao=132917&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_024eb81e&cb=1604569321578&jobListingId=3715251597
702,Cypress HCM,4.9,Data Analyst 2,"San Jose, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2411&ao=9619&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_0e5b9ed4&cb=1604569321578&jobListingId=3713503492
703,"nexus IT group, Inc.",,Machine Learning Engineer,"Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2412&ao=60007&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_ab38a342&cb=1604569321578&jobListingId=3683108298
704,"TuSimple, Inc.",3.8,Planning - Research Engineer/Research Scientist,"Palo Alto, CA",98K-163K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2413&ao=8095&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_64cf8087&cb=1604569321580&jobListingId=3645946433
705,Amazon,3.9,Sr. Applied Scientist- AWS AI,"East Palo Alto, CA",135K-210K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2414&ao=133043&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_9812a8a2&cb=1604569321580&jobListingId=3675015484
706,Bill.com,4.1,Senior Risk Data Analyst,"Palo Alto, CA",64K-121K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2415&ao=148364&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_b3764411&cb=1604569321581&jobListingId=3732579830
707,LIVE OBJECTS,,Backend Data Engineer,"Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2416&ao=1091461&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_c459f6e7&cb=1604569321581&jobListingId=3663431552
708,Amazon,3.9,Senior Applied Scientist,"Palo Alto, CA",36K-303K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2417&ao=133043&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_90a1e9e1&cb=1604569321581&jobListingId=3425420219
709,Stanford School of Medicine,4.1,Senior Quality Control Analytical Scientist,"Stanford, CA",62K-110K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2418&ao=37049&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_bf5a2b87&cb=1604569321582&jobListingId=3720988619
710,Calithera Biosciences Inc.,,Biomarker Scientist/Biomarker Operations Manager,"South San Francisco, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2419&ao=4341&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fa623109&cb=1604569321587&jobListingId=3720140017
711,Technosoft Global,4.2,Business Intelligence Analyst,"Santa Clara, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2420&ao=1091461&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_d749afaa&cb=1604569321583&jobListingId=3663406728
712,Perfect World Entertainment North America,,Lead Data Scientist,"Redwood City, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2421&ao=148364&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_64d06945&cb=1604569321583&jobListingId=3652924381
713,McDonald's Corporate,3.5,"Data Scientist, ML Evaluation - McD Tech Labs","Mountain View, CA",85K-140K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2422&ao=1091461&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_4975059b&cb=1604569321583&jobListingId=3718152639
714,Kodoai,,Data Analyst with Health (Claims & Payer) Experience - Local to CA required,"Foster City, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2423&ao=1091454&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_39d810b1&cb=1604569321584&jobListingId=3724128983
715,GRAIL,3.7,Market Analytics Manager,"Menlo Park, CA",86K-185K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2424&ao=286130&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_540734e4&cb=1604569321584&jobListingId=3724901230
716,NVIDIA,4.8,"Research Scientist, Computer Graphics - Deep Learning","Santa Clara, CA",133K-227K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2425&ao=132938&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_a1d64292&cb=1604569321584&jobListingId=3716096001
717,GSN Games,4.5,Principal Data Scientist,"Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2426&ao=397427&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_0efd2ee3&cb=1604569321585&jobListingId=3690538468
718,"GRAIL, Inc.",4,Market Analytics Manager,"Menlo Park, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2427&ao=1091461&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_ae957b1a&cb=1604569321585&jobListingId=3726199900
719,JD.com,3.6,JD Digits AI Lab - Machine Learning Research Scientist,"Mountain View, CA",117K-200K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2428&ao=8095&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_84e0fabc&cb=1604569321586&jobListingId=3708937180
720,DGN Technologies,4.9,Data Engineer,"Sunnyvale, CA",88K-160K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2429&ao=1091454&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c0532304&cb=1604569321586&jobListingId=3707943918
721,,,Data Engineer,"Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2430&ao=8095&s=58&guid=0000017597c8cd2780e41a281102e3fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_bc089bc8&cb=1604569321587&jobListingId=3336726864
722,Natera,4,Human Resources Data Analyst,"San Carlos, CA",52K-93K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2501&ao=134544&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_c64e018b&cb=1604569329805&jobListingId=3711426991
723,DGN Technologies,4.9,Data Engineer,"Sunnyvale, CA",88K-160K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2502&ao=1091454&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7602753e&cb=1604569329805&jobListingId=3707943918
724,Calypso Way,,Senior Data Scientist,"San Jose, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2503&ao=1091454&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_38946447&cb=1604569329806&jobListingId=3710398220
725,ByteDance,3.8,"Data Engineer, Video Cloud","Mountain View, CA",84K-151K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2504&ao=934755&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_ea3013da&cb=1604569329807&jobListingId=3611582750
726,Tata Technologies Inc.,3.3,Machine Learning Engineer - Intelligent Mobility System- 3439,"Mountain View, CA",78K-138K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2505&ao=37049&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_70661862&cb=1604569329807&jobListingId=3719008705
727,Tata Technologies Inc.,3.3,Machine Learning Engineer - Intelligent Mobility System,"Mountain View, CA",78K-138K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2506&ao=1091461&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_fdfc123c&cb=1604569329809&jobListingId=3718436613
728,Walmart,3.3,"Advanced Analytics Manager 3 - Associate Director, Web Analytics","San Bruno, CA",101K-164K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2507&ao=1091461&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_511f2ddb&cb=1604569329810&jobListingId=3663461393
729,InfoWay Solutions LLC,2.6,Machine Learning Engineer,"Sunnyvale, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2508&ao=4341&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5c3993ce&cb=1604569329812&jobListingId=3639750067
730,Enquero Inc,4,Senior Data Analyst - Einstein Analytics,"Milpitas, CA",66K-116K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2509&ao=1020558&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_67052d76&cb=1604569329812&jobListingId=3732646031
731,Tempus Labs,3.4,"Senior Machine Learning Scientist - Bay Area, CA","Redwood City, CA",141K-228K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2510&ao=8095&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9eb2a701&cb=1604569329813&jobListingId=3241671849
732,Verantos,5,Machine learning engineer,"Menlo Park, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2511&ao=1091461&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_12ef7311&cb=1604569329813&jobListingId=3696612467
733,Guardant Health,3.8,Data Architect,"Redwood City, CA",102K-170K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2512&ao=941254&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_671b8fd2&cb=1604569329813&jobListingId=3704269118
734,PLUTO 7,,Senior Data Scientist,"San Jose, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2513&ao=1091454&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_f78332d5&cb=1604569329814&jobListingId=3724511766
735,KLA,3.9,Data Center Platform Engineer,"Milpitas, CA",103K-170K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2514&ao=242900&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_a96577f4&cb=1604569329814&jobListingId=3725641923
736,iknowvate technologies,3.2,Data Analyst/Product Owner(Payments/Finance/Accounting Industry Background),"San Jose, CA",49K-89K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2515&ao=1091461&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_70dcc1af&cb=1604569329815&jobListingId=3682786418
737,Amazon,3.9,"Sr. Applied Scientist, Alexa - Speech/Acoustics","Sunnyvale, CA",37K-321K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2516&ao=133043&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_e71e8dad&cb=1604569329816&jobListingId=3587682516
738,IntelliPro Group Inc.,4.2,Big Data Engineering Instructor,"Santa Clara, CA",58K-111K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2517&ao=4341&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4aeaf6e7&cb=1604569329817&jobListingId=3592606561
739,Squadex,3,Big Data Engineer,"Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2518&ao=1091461&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_de07291d&cb=1604569329817&jobListingId=3663427416
740,Guardant Health,3.8,Senior Bioinformatics Data Engineer,"Redwood City, CA",109K-195K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2519&ao=1091461&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0bb831d0&cb=1604569329818&jobListingId=3726201397
741,Color,3.3,"Senior Data Analyst, Healthcare Analytics","Burlingame, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2520&ao=148364&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_a6cbf06d&cb=1604569329818&jobListingId=3672798533
742,Thermo Fisher Scientific,3.6,Sr. Staff Scientist Bioinformatics,"South San Francisco, CA",90K-182K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2521&ao=133879&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_d8a609da&cb=1604569329820&jobListingId=3733545213
743,Stem Inc,3.3,Fleet Optimization Data Analyst (Solar + Storage),"Millbrae, CA",58K-103K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2522&ao=1091461&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f7077db9&cb=1604569329820&jobListingId=3663459557
744,IntelliPro Group Inc.,4.2,Workday EIB Data Analyst,"Mountain View, CA",69K-131K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2523&ao=4341&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f0cf7297&cb=1604569329820&jobListingId=3452896210
745,Nextgen Technologies,4.2,Big Data Engineer,"San Jose, CA",69K-132K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2524&ao=4120&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d3079d8c&cb=1604569329821&jobListingId=3298121364
746,AppLovin,4.8,"Senior Machine Learning Engineer, Infrastructure/Big Data","Palo Alto, CA",150K-258K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2525&ao=4120&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_b02e2aa4&cb=1604569329821&jobListingId=3684955845
747,Susquehanna International Group,3.6,Machine Learning Engineer,"Alameda, CA",119K-202K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2526&ao=1091461&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_db343bd5&cb=1604569329822&jobListingId=3663487498
748,Amazon,3.9,Senior Machine Learning Applied Scientist (Ads Auction),"Palo Alto, CA",135K-210K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2527&ao=133043&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_9a4a7a2b&cb=1604569329824&jobListingId=3576550010
749,PerformanceStar,2,Java Machine Learning Programmers & Scientists,"Santa Clara, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2528&ao=1091461&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_14d6285f&cb=1604569329824&jobListingId=3663406637
750,Kforce,4.1,Data Engineer,"Sunnyvale, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2529&ao=220345&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_ceeb733c&cb=1604569329824&jobListingId=3723582040
751,NVIDIA,4.8,"Senior Deep Learning Scientist, Prediction - Autonomous Vehicles","Santa Clara, CA",153K-261K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2530&ao=132938&s=58&guid=0000017597c8eefe933d97a715e429b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_2d8fe70a&cb=1604569329825&jobListingId=3625475374
752,NVIDIA,4.8,"Senior Deep Learning Scientist, Prediction - Autonomous Vehicles","Santa Clara, CA",153K-261K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2601&ao=132938&s=58&guid=0000017597c91028a350d54e0aa95403&src=GD_JOB_AD&t=SR&vt=w&cs=1_98e37ac6&cb=1604569338322&jobListingId=3625475374
753,"NephroSant, Inc.",,Machine Learning Engineer,"Brisbane, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2602&ao=148364&s=58&guid=0000017597c91028a350d54e0aa95403&src=GD_JOB_AD&t=SR&vt=w&cs=1_a3fa9c58&cb=1604569338329&jobListingId=3691896394
754,ByteDance,3.8,Data Engineer in Security,"Mountain View, CA",81K-142K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2603&ao=934755&s=58&guid=0000017597c91028a350d54e0aa95403&src=GD_JOB_AD&t=SR&vt=w&cs=1_cdd26f0b&cb=1604569338323&jobListingId=3491492822
755,Canopy One Solutions,3,Clinical Data Analyst with Pharma Data Analytics Background & CTMS Experience,"Alameda, CA",55K-99K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2604&ao=316669&s=58&guid=0000017597c91028a350d54e0aa95403&src=GD_JOB_AD&t=SR&vt=w&cs=1_9c8c150f&cb=1604569338324&jobListingId=3727076242
756,Softcom Systems,4.3,Supply Chain Data Analyst,"San Jose, CA",69K-121K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2605&ao=37049&s=58&guid=0000017597c91028a350d54e0aa95403&src=GD_JOB_AD&t=SR&vt=w&cs=1_43fb8df6&cb=1604569338326&jobListingId=3393023728
757,Samsung Research America,3.8,Computational Scientist - Think Tank Team,"Mountain View, CA",94K-155K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2606&ao=882399&s=58&guid=0000017597c91028a350d54e0aa95403&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d302e72f&cb=1604569338327&jobListingId=3687787395
758,CyberCoders,4.2,Data Engineer,"Redwood City, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2607&ao=1044072&s=58&guid=0000017597c91028a350d54e0aa95403&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_530ff912&cb=1604569338328&jobListingId=3731812160
759,Facebook,4.5,"Machine Learning Engineers & Scientists, Facebook Conversational AI","Menlo Park, CA",97K-165K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2608&ao=132920&s=58&guid=0000017597c91028a350d54e0aa95403&src=GD_JOB_AD&t=SR&vt=w&cs=1_a404ab64&cb=1604569338329&jobListingId=3683117602
760,Kuaishou Technology,4.5,"Manager, Data Science (A/B Test)","Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2609&ao=1091454&s=58&guid=0000017597c91028a350d54e0aa95403&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_956f8885&cb=1604569338330&jobListingId=3681085184
761,Affinity Solutions,3.2,Staff BI and Data Engineer,"San Jose, CA",105K-124K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2610&ao=1061809&s=58&guid=0000017597c91028a350d54e0aa95403&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d5888e1b&cb=1604569338330&jobListingId=3532293231
762,"Conch Technologies, Inc",4.6,Data Engineer,"San Jose, CA",77K-143K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2611&ao=37049&s=58&guid=0000017597c91028a350d54e0aa95403&src=GD_JOB_AD&t=SR&vt=w&cs=1_c45cdbf4&cb=1604569338330&jobListingId=3623026857
763,Apple,4.2,"Apple Media Products - Senior Research/Machine Learning Engineer, Analytics","Santa Clara, CA",172K-267K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=2612&ao=191997&s=58&guid=0000017597c91028a350d54e0aa95403&src=GD_JOB_AD&t=SR&vt=w&cs=1_4685de53&cb=1604569338331&jobListingId=3709956471
